timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1580169616388,1002,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-55,text,true,,114,0,56,56,null,0,0,0
1580169614477,3001,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-41,text,true,,114,0,56,56,null,0,0,0
1580169615485,2005,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-6,text,true,,114,0,56,56,null,0,0,0
1580169615490,2001,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-47,text,true,,114,0,56,56,null,0,0,0
1580169616610,1001,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-56,text,true,,114,0,57,57,null,0,0,0
1580169614633,3003,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-34,text,true,,114,0,57,57,null,0,0,0
1580169614707,3001,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-37,text,true,,114,0,57,57,null,0,0,0
1580169616708,1000,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-57,text,true,,114,0,57,57,null,0,0,0
1580169615799,2001,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-48,text,true,,114,0,57,57,null,0,0,0
1580169613864,4002,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-22,text,true,,114,0,58,58,null,0,0,0
1580169614881,3001,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-36,text,true,,114,0,57,57,null,0,0,0
1580169613976,4001,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-16,text,true,,114,0,57,57,null,0,0,0
1580169615987,2003,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-52,text,true,,114,0,56,56,null,0,0,0
1580169616124,2000,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-49,text,true,,114,0,57,57,null,0,0,0
1580169614180,4001,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-10,text,true,,114,0,57,57,null,0,0,0
1580169615322,3002,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-31,text,true,,114,0,56,56,null,0,0,0
1580169617510,1002,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-4,text,true,,114,0,57,57,null,0,0,0
1580169614546,4001,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-18,text,true,,114,0,57,57,null,0,0,0
1580169617549,1005,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-13,text,true,,114,0,56,56,null,0,0,0
1580169614596,4001,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-14,text,true,,114,0,57,57,null,0,0,0
1580169617626,1005,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-58,text,true,,114,0,56,56,null,0,0,0
1580169616697,2000,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-1,text,true,,114,0,56,56,null,0,0,0
1580169616728,2001,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-3,text,true,,114,0,56,56,null,0,0,0
1580169615733,3000,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-39,text,true,,114,0,56,56,null,0,0,0
1580169614889,4001,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-20,text,true,,114,0,57,57,null,0,0,0
1580169614921,4004,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-25,text,true,,114,0,56,56,null,0,0,0
1580169615967,3000,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-40,text,true,,114,0,55,55,null,0,0,0
1580169617971,1004,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-11,text,true,,114,0,55,55,null,0,0,0
1580169618053,1004,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-5,text,true,,114,0,55,55,null,0,0,0
1580169616055,3002,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-44,text,true,,114,0,55,55,null,0,0,0
1580169615084,4005,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-12,text,true,,114,0,56,56,null,0,0,0
1580169615107,4000,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-27,text,true,,114,0,55,55,null,0,0,0
1580169618162,1001,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-7,text,true,,114,0,54,54,null,0,0,0
1580169615170,4000,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-26,text,true,,114,0,54,54,null,0,0,0
1580169617208,2003,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-9,text,true,,114,0,53,53,null,0,0,0
1580169617363,2004,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-2,text,true,,114,0,54,54,null,0,0,0
1580169616413,3003,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-38,text,true,,114,0,54,54,null,0,0,0
1580169617424,2003,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-8,text,true,,114,0,54,54,null,0,0,0
1580169618504,1001,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-15,text,true,,114,0,54,54,null,0,0,0
1580169617513,2003,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-54,text,true,,114,0,54,54,null,0,0,0
1580169617742,2000,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-57,text,true,,114,0,55,55,null,0,0,0
1580169618099,2000,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-53,text,true,,114,0,57,57,null,0,0,0
1580169619279,1002,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-16,text,true,,114,0,57,57,null,0,0,0
1580169619301,1000,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-17,text,true,,114,0,57,57,null,0,0,0
1580169619389,1001,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-18,text,true,,114,0,58,58,null,0,0,0
1580169618434,2002,Dummy Two,200,OK,Arrivals Thread Group-ThreadStarter 1-55,text,true,,114,0,58,58,null,0,0,0
1580169617471,3002,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-45,text,true,,114,0,58,58,null,0,0,0
1580169619598,1002,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-10,text,true,,114,0,59,59,null,0,0,0
1580169619640,1000,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-12,text,true,,114,0,59,59,null,0,0,0
1580169617643,3003,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-6,text,true,,114,0,59,59,null,0,0,0
1580169617654,3000,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-42,text,true,,114,0,59,59,null,0,0,0
1580169616685,4000,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-28,text,true,,114,0,59,59,null,0,0,0
1580169619689,1001,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-22,text,true,,114,0,58,58,null,0,0,0
1580169619810,1004,Dummy One,200,OK,Arrivals Thread Group-ThreadStarter 1-14,text,true,,114,0,58,58,null,0,0,0
1580169617830,3000,Dummy Three,200,OK,Arrivals Thread Group-ThreadStarter 1-46,text,true,,114,0,59,59,null,0,0,0
1580169616904,4000,Dummy Four,200,OK,Arrivals Thread Group-ThreadStarter 1-19,text,true,,114,0,59,59,null,0,0,0
